Capital expenditure,$ Total,$ Accumulated1,year,school_id,school_name,$ Last 3 years1
Total capital expenditure,15651,92735,2016,44062,"Footscray Primary School, Footscray, VIC",
Australian government capital expenditure,0,0,2022,53069,"Port Melbourne Secondary College, Port Melbourne, VIC",
State / territory government capital expenditure,0,0,2022,53069,"Port Melbourne Secondary College, Port Melbourne, VIC",
New school loans,0,0,2022,53069,"Port Melbourne Secondary College, Port Melbourne, VIC",
Income allocated to current capital projects,0,0,2022,53069,"Port Melbourne Secondary College, Port Melbourne, VIC",
Other,0,0,2022,53069,"Port Melbourne Secondary College, Port Melbourne, VIC",
Total capital expenditure,0,0,2022,53069,"Port Melbourne Secondary College, Port Melbourne, VIC",
Australian government capital expenditure,153620,349451,2020,44485,"Carlton Gardens Primary School, Carlton, VIC",
State / territory government capital expenditure,627447,1216732,2020,44485,"Carlton Gardens Primary School, Carlton, VIC",
New school loans,0,0,2020,44485,"Carlton Gardens Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2020,44485,"Carlton Gardens Primary School, Carlton, VIC",
Other,49590,159151,2020,44485,"Carlton Gardens Primary School, Carlton, VIC",
Total capital expenditure,830657,1725334,2020,44485,"Carlton Gardens Primary School, Carlton, VIC",
Australian government capital expenditure,0,73799,2014,48415,"Kensington Primary School, Kensington, WA",
State / territory government capital expenditure,19851,73648,2014,48415,"Kensington Primary School, Kensington, WA",
New school loans,0,0,2014,48415,"Kensington Primary School, Kensington, WA",
Income allocated to current capital projects,0,8000,2014,48415,"Kensington Primary School, Kensington, WA",
Other,0,0,2014,48415,"Kensington Primary School, Kensington, WA",
Total capital expenditure,19851,155447,2014,48415,"Kensington Primary School, Kensington, WA",
Australian government capital expenditure,11780,259934,2021,44273,"Williamstown North Primary School, Williamstown, VIC",
State / territory government capital expenditure,46507,845734,2021,44273,"Williamstown North Primary School, Williamstown, VIC",
New school loans,0,0,2021,44273,"Williamstown North Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2021,44273,"Williamstown North Primary School, Williamstown, VIC",
Other,8746,44593,2021,44273,"Williamstown North Primary School, Williamstown, VIC",
Total capital expenditure,67033,1150261,2021,44273,"Williamstown North Primary School, Williamstown, VIC",
Australian government capital expenditure,684410,1608946,2017,45545,"Brunswick Secondary College, Brunswick, VIC",
State / territory government capital expenditure,3752602,5233314,2017,45545,"Brunswick Secondary College, Brunswick, VIC",
New school loans,0,0,2017,45545,"Brunswick Secondary College, Brunswick, VIC",
Income allocated to current capital projects,0,0,2017,45545,"Brunswick Secondary College, Brunswick, VIC",
Other,0,33928,2017,45545,"Brunswick Secondary College, Brunswick, VIC",
Total capital expenditure,4437012,6876188,2017,45545,"Brunswick Secondary College, Brunswick, VIC",
Australian government capital expenditure,116436,152592,2021,44671,"Altona Primary School, Altona, VIC",
State / territory government capital expenditure,459670,585759,2021,44671,"Altona Primary School, Altona, VIC",
New school loans,0,0,2021,44671,"Altona Primary School, Altona, VIC",
Income allocated to current capital projects,0,0,2021,44671,"Altona Primary School, Altona, VIC",
Other,0,67768,2021,44671,"Altona Primary School, Altona, VIC",
Total capital expenditure,576106,806119,2021,44671,"Altona Primary School, Altona, VIC",
Australian government capital expenditure,11533,26111,2017,44225,"Williamstown Primary School, Williamstown, VIC",
State / territory government capital expenditure,71964,94615,2017,44225,"Williamstown Primary School, Williamstown, VIC",
New school loans,0,0,2017,44225,"Williamstown Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2017,44225,"Williamstown Primary School, Williamstown, VIC",
Other,27204,27204,2017,44225,"Williamstown Primary School, Williamstown, VIC",
Total capital expenditure,110701,147930,2017,44225,"Williamstown Primary School, Williamstown, VIC",
Australian government capital expenditure,31425,0,2023,52587,"South Melbourne Primary School, Southbank, VIC","47,493"
State / territory government capital expenditure,137232,0,2023,52587,"South Melbourne Primary School, Southbank, VIC","198,906"
New school loans,0,0,2023,52587,"South Melbourne Primary School, Southbank, VIC",0
Income allocated to current capital projects,0,0,2023,52587,"South Melbourne Primary School, Southbank, VIC",0
Other,0,0,2023,52587,"South Melbourne Primary School, Southbank, VIC",0
Total capital expenditure,168657,0,2023,52587,"South Melbourne Primary School, Southbank, VIC","246,399"
Australian government capital expenditure,17740,395721,2017,44273,"Williamstown North Primary School, Williamstown, VIC",
State / territory government capital expenditure,110691,615440,2017,44273,"Williamstown North Primary School, Williamstown, VIC",
New school loans,0,0,2017,44273,"Williamstown North Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2017,44273,"Williamstown North Primary School, Williamstown, VIC",
Other,16974,74310,2017,44273,"Williamstown North Primary School, Williamstown, VIC",
Total capital expenditure,145405,1085471,2017,44273,"Williamstown North Primary School, Williamstown, VIC",
Australian government capital expenditure,0,0,2022,48415,"Kensington Primary School, Kensington, WA",
State / territory government capital expenditure,1271189,1627789,2022,48415,"Kensington Primary School, Kensington, WA",
New school loans,0,0,2022,48415,"Kensington Primary School, Kensington, WA",
Income allocated to current capital projects,0,0,2022,48415,"Kensington Primary School, Kensington, WA",
Other,0,0,2022,48415,"Kensington Primary School, Kensington, WA",
Total capital expenditure,1271189,1627789,2022,48415,"Kensington Primary School, Kensington, WA",
Australian government capital expenditure,18276,477262,2016,44485,"Carlton Gardens Primary School, Carlton, VIC",
State / territory government capital expenditure,43309,562389,2016,44485,"Carlton Gardens Primary School, Carlton, VIC",
New school loans,0,0,2016,44485,"Carlton Gardens Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2016,44485,"Carlton Gardens Primary School, Carlton, VIC",
Other,40745,79587,2016,44485,"Carlton Gardens Primary School, Carlton, VIC",
Total capital expenditure,102330,1119238,2016,44485,"Carlton Gardens Primary School, Carlton, VIC",
Australian government capital expenditure,51221,82694,2020,44062,"Footscray Primary School, Footscray, VIC",
State / territory government capital expenditure,209206,306096,2020,44062,"Footscray Primary School, Footscray, VIC",
New school loans,0,0,2020,44062,"Footscray Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2020,44062,"Footscray Primary School, Footscray, VIC",
Other,0,22968,2020,44062,"Footscray Primary School, Footscray, VIC",
Total capital expenditure,260427,411758,2020,44062,"Footscray Primary School, Footscray, VIC",
Australian government capital expenditure,369123,428468,2015,44270,"North Melbourne Primary School, North Melbourne, VIC",
State / territory government capital expenditure,488650,552234,2015,44270,"North Melbourne Primary School, North Melbourne, VIC",
New school loans,0,0,2015,44270,"North Melbourne Primary School, North Melbourne, VIC",
Income allocated to current capital projects,0,0,2015,44270,"North Melbourne Primary School, North Melbourne, VIC",
Other,16202,53525,2015,44270,"North Melbourne Primary School, North Melbourne, VIC",
Total capital expenditure,873975,1034227,2015,44270,"North Melbourne Primary School, North Melbourne, VIC",
Australian government capital expenditure,140712,180516,2017,44948,"Carlton Primary School, Carlton, VIC",
State / territory government capital expenditure,877987,969761,2017,44948,"Carlton Primary School, Carlton, VIC",
New school loans,0,0,2017,44948,"Carlton Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2017,44948,"Carlton Primary School, Carlton, VIC",
Other,7990,7990,2017,44948,"Carlton Primary School, Carlton, VIC",
Total capital expenditure,1026689,1158267,2017,44948,"Carlton Primary School, Carlton, VIC",
Australian government capital expenditure,29882,682539,2017,44515,"Yarraville West Primary School, Yarraville, VIC",
State / territory government capital expenditure,186450,1322600,2017,44515,"Yarraville West Primary School, Yarraville, VIC",
New school loans,0,0,2017,44515,"Yarraville West Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2017,44515,"Yarraville West Primary School, Yarraville, VIC",
Other,0,0,2017,44515,"Yarraville West Primary School, Yarraville, VIC",
Total capital expenditure,216332,2005139,2017,44515,"Yarraville West Primary School, Yarraville, VIC",
Australian government capital expenditure,427570,1630749,2022,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
State / territory government capital expenditure,1641189,6404173,2022,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
New school loans,0,0,2022,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Income allocated to current capital projects,0,0,2022,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Other,18624,18624,2022,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Total capital expenditure,2087383,8053546,2022,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Australian government capital expenditure,31969,1274457,2020,50267,"Albert Park College, Albert Park, VIC",
State / territory government capital expenditure,130574,3898073,2020,50267,"Albert Park College, Albert Park, VIC",
New school loans,0,0,2020,50267,"Albert Park College, Albert Park, VIC",
Income allocated to current capital projects,0,0,2020,50267,"Albert Park College, Albert Park, VIC",
Other,268730,410397,2020,50267,"Albert Park College, Albert Park, VIC",
Total capital expenditure,431273,5582927,2020,50267,"Albert Park College, Albert Park, VIC",
Australian government capital expenditure,171200,250711,2020,45587,"Altona College, Altona, VIC",
State / territory government capital expenditure,699248,943770,2020,45587,"Altona College, Altona, VIC",
New school loans,0,0,2020,45587,"Altona College, Altona, VIC",
Income allocated to current capital projects,0,0,2020,45587,"Altona College, Altona, VIC",
Other,104334,114509,2020,45587,"Altona College, Altona, VIC",
Total capital expenditure,974782,1308990,2020,45587,"Altona College, Altona, VIC",
Australian government capital expenditure,21173,49410,2021,44225,"Williamstown Primary School, Williamstown, VIC",
State / territory government capital expenditure,83588,181114,2021,44225,"Williamstown Primary School, Williamstown, VIC",
New school loans,0,0,2021,44225,"Williamstown Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2021,44225,"Williamstown Primary School, Williamstown, VIC",
Other,8862,53997,2021,44225,"Williamstown Primary School, Williamstown, VIC",
Total capital expenditure,113623,284521,2021,44225,"Williamstown Primary School, Williamstown, VIC",
Australian government capital expenditure,4066,191723,2017,44671,"Altona Primary School, Altona, VIC",
State / territory government capital expenditure,25368,458071,2017,44671,"Altona Primary School, Altona, VIC",
New school loans,0,0,2017,44671,"Altona Primary School, Altona, VIC",
Income allocated to current capital projects,0,0,2017,44671,"Altona Primary School, Altona, VIC",
Other,0,63685,2017,44671,"Altona Primary School, Altona, VIC",
Total capital expenditure,29434,713479,2017,44671,"Altona Primary School, Altona, VIC",
Australian government capital expenditure,499380,1785837,2015,45442,"Northcote High School, Northcote, VIC",
State / territory government capital expenditure,485428,603321,2015,45442,"Northcote High School, Northcote, VIC",
